location	use
Tela choroidea of fourth ventricle	no
Fourth ventricle roof plate	no
nan	?
Midbrain-hindbrain boundary on the hindbrain side (isthmus)	no
Isthmus and dorsal r1 of the hindbrain	no
Caudal and dorsal midbrain (caudal m1A)	yes
Midbrain-hindbrain boundary on the midbrain side (m2)	no
Basal plate of diencephalon, midbrain and hinbrain	no
Midbrain alar ventrolateral plate (m1AVL)	no
Alar plate of the midbrain and diencephalon	yes
Alar plate of the hindbrain and spinal cord	no
Caudal part of hindbrain r1	no
Mediolateral (basal plate?) part of hindbrain r2-r8 and spinal cord	no
Basal plate of the midbrain (m1B)	no
Floor plate of the midbrain (m1F) and caudal diencephalon (p1F, p2F)	no
Floor plate of the hindbrain and spinal cord	no
Terminal hypothalamus and preoptic area (THy, PO)	no
Floor plate of peduncular hypothalamus (PHy)	no
Peduncular hypothalamus (basal plate) (PHy)	no
Ventral and rostral diencephalon (p2 and p3)	no
Roof plate of midbrain, diencephalon and pallium	yes
Medial caudal pallium (cortical hem)	no
Caudal subpallium (ganglionic eminence)	no
Basal plate of forebrain (p1,p2,p3,PHy,THy)	no
Subpallium	no
Failed spatial mapping	?
Lateral pallium	no
Ventromedial hindbrain, spinal cord (basal plate)	no
Midbrain-hindbrain boundary diffuse	yes
Midbrain and diencephalon roof plate	yes
Midbrain alar plate	yes
Hindbrain dorsolateral (alar plate)	no
Mantle zone of preoptic area and subpallium, diffuse first branchail arch	no
Hinbrain r4 ventral	no
Hindbrain and spinal cord ventral	no
Midbrain roof plate, subpallium ganglionic eminence	yes
Midbrain diencephalon roof plate	yes
Hindbrain dorsal (alar)	no
Hindbrain ventral (basal)	no
Midbrain basal plate	no
Diencephalon basal plate	no
Hindbrain and spinal cord ventral (basal)	no
Hindbrain and spinal cord dorsolateral	no
Lateral preoptic area	no
Midbrain vetral, lateral preoptic area	no
Ventral diencephalon	no
Hindbrain lateral r4	no
Hindbrain lateral	no
Hindbrain ventrolateral	no
Midbrain dorsal, hindbrain lateral	yes
Cranial ganglion	no
Ventrolateral spinal cord	no
Ventral hindbrain	no
Ventral hindbrain, spinal cord	no
Midbrain	yes
Cranial ganglion (trigeminal)	no
Hindbrain r4	no
Hindbrain	no
Lateral hindbrain, spinal cord	no
Midbrain ventral	no
Ventral midbrain, diencephalon	no
Diencephalon p3 and otic vesicle	no
Medial rostral subpallium	no
Sparse PHy	no
Medulla dorsolateral	no
Hindbrain dorsal	no
Ventrolateral hindbrain, spinal cord	no
Pallium dorsal lateral	no
Strong staining of unknown caudal structure	?
NA	?
