"","Var1","value","rel","split","total","Confidence.Interval","Lower.limit","Upper.limit","alpha","pvalue","p.adjust","sig","clusterID"
"1",1,10,0.0117924528301887,"ctrl",848,"two.sided",0.00566902553168729,0.0215795151109547,0.05,0.152928143441326,0.229392215161988,"","MEGLU5,MEGLU4"
"2",1,1,0.00229357798165138,"sparse",436,"two.sided",5.80666810014587e-05,0.0127122029234529,0.05,0.152928143441326,0.229392215161988,"","MEGLU5,MEGLU4"
"3",2,450,0.530660377358491,"ctrl",848,"two.sided",0.496424297809033,0.564682700042002,0.05,2.10385632497771e-07,9.4673534623997e-07,"***","MEGLU6"
"4",2,164,0.376146788990826,"sparse",436,"two.sided",0.330505685328902,0.423480841604753,0.05,2.10385632497771e-07,9.4673534623997e-07,"***","MEGLU6"
"5",3,178,0.209905660377358,"ctrl",848,"two.sided",0.182953282124611,0.238890636054915,0.05,4.93585709290638e-14,4.44227138361574e-13,"***","MEGLU1,MEINH3,MEINH2"
"6",3,179,0.410550458715596,"sparse",436,"two.sided",0.363972520538405,0.458350496782346,0.05,4.93585709290638e-14,4.44227138361574e-13,"***","MEGLU1,MEINH3,MEINH2"
"7",4,41,0.0483490566037736,"ctrl",848,"two.sided",0.0349162173502863,0.0650221234383824,0.05,0.807240376161404,0.90814542318158,"","MEINH7,MEINH12"
"8",4,19,0.0435779816513761,"sparse",436,"two.sided",0.0264375023984,0.0672178370021879,0.05,0.807240376161404,0.90814542318158,"","MEINH7,MEINH12"
"9",5,20,0.0235849056603774,"ctrl",848,"two.sided",0.0144644082416647,0.036190822966503,0.05,0.329915586384288,0.424177182494084,"",NA
"10",5,6,0.0137614678899083,"sparse",436,"two.sided",0.00506651435469469,0.0297109818991953,0.05,0.329915586384288,0.424177182494084,"",NA
"11",7,94,0.110849056603774,"ctrl",848,"two.sided",0.0905108230031686,0.133935726554498,0.05,0.00613165026299346,0.0137962130917353,"*","MEINH5,MEINH11,MEINH9,MEINH10"
"12",7,27,0.0619266055045872,"sparse",436,"two.sided",0.0412029955443953,0.0888237536255729,0.05,0.00613165026299346,0.0137962130917353,"*","MEINH5,MEINH11,MEINH9,MEINH10"
"13",8,14,0.0165094339622642,"ctrl",848,"two.sided",0.00905449618715142,0.027545016188949,0.05,0.0487467893746441,0.0877442208743593,"*","MEINH6"
"14",8,1,0.00229357798165138,"sparse",436,"two.sided",5.80666810014587e-05,0.0127122029234529,0.05,0.0487467893746441,0.0877442208743593,"*","MEINH6"
"15",9,41,0.0483490566037736,"ctrl",848,"two.sided",0.0349162173502863,0.0650221234383824,0.05,0.00571783961499657,0.0137962130917353,"*","MEINH8"
"16",9,39,0.0894495412844037,"sparse",436,"two.sided",0.0643806937692136,0.120251095132807,0.05,0.00571783961499657,0.0137962130917353,"*","MEINH8"
"17",10,1,0.00229357798165138,"sparse",436,"two.sided",5.80666810014587e-05,0.0127122029234529,0.05,1,1,"","MEGLU2,MEGLU3"
"18",10,1,0.00117924528301887,"ctrl",848,"two.sided",2.98554599587359e-05,0.00655265089535695,0.05,1,1,"","MEGLU2,MEGLU3"
