"","PatchSeq.p_val","PatchSeq.avg_log2FC","PatchSeq.pct.1","PatchSeq.pct.2","PatchSeq.p_val_adj","gene"
"Slc17a6",2.5817290584137e-23,0.93966720469998,0.94,0.669,7.43976862763076e-19,"Slc17a6"
"Gad1",5.11477626576694e-21,-1.04532128911165,0.573,0.934,1.47392507650606e-16,"Gad1"
"Gad2",2.57113801287081e-19,-0.93581744209247,0.684,0.919,7.40924841168982e-15,"Gad2"
"Nrn1",3.1487615639247e-17,0.899233889425666,0.906,0.537,9.07378619876181e-13,"Nrn1"
"Cacna2d1",3.72417789861553e-12,0.68766137011985,0.923,0.809,1.07319634504404e-07,"Cacna2d1"
"Shox2",7.92584760960485e-12,0.948395147425329,0.778,0.39,2.28399150565983e-07,"Shox2"
"Gad1os",7.97660685583125e-12,-1.07186773543139,0.188,0.603,2.29861879764489e-07,"Gad1os"
"Rpp25",1.96794225746809e-10,-1.28884060090428,0.145,0.522,5.6710192033458e-06,"Rpp25"
"Asic4",6.64427014437074e-10,-1.21155533935399,0.197,0.529,1.91467932750332e-05,"Asic4"
"Gata3",1.33118400346504e-09,-0.494981040811824,0.761,0.904,3.8360729427852e-05,"Gata3"
"Syt4",1.64508889392689e-09,0.394392241942619,0.966,0.846,4.74065266562913e-05,"Syt4"
"Lhx1os",1.71347509373518e-09,-1.29023381643108,0.145,0.493,4.93772117761667e-05,"Lhx1os"
"Car10",7.69204375534691e-09,0.396341492403052,0.983,0.956,0.000221661624897832,"Car10"
"Adcyap1",1.08600391848917e-08,1.30462694524927,0.359,0.081,0.000312953749191025,"Adcyap1"
"Fars2",2.24075799860869e-08,0.539117975652156,0.974,0.794,0.000645719232459066,"Fars2"
"Sez6",3.55671880294339e-08,0.485133153922553,0.889,0.721,0.0010249396574442,"Sez6"
"Gm13256",4.09709068010433e-08,-1.47615533752728,0.068,0.353,0.00118065862128566,"Gm13256"
"Slc32a1",4.68711563881931e-08,-0.734571762086765,0.436,0.728,0.00135068611363856,"Slc32a1"
"Nptx2",5.48286482020462e-08,1.06061615083528,0.47,0.184,0.00157999715523836,"Nptx2"
"Pou4f1",1.14977660058603e-07,1.11244096802603,0.453,0.154,0.00331331122990876,"Pou4f1"
"Lhx9",1.33427769335474e-07,1.02383233576365,0.504,0.235,0.00384498802894034,"Lhx9"
"Otx2",1.88976519860267e-07,-1.11281360277094,0.214,0.485,0.00544573637281331,"Otx2"
"Tmem163",1.91556687595503e-07,0.641182494982232,0.803,0.647,0.00552008906643962,"Tmem163"
"Cartpt",2.81207599543144e-07,1.27393979557833,0.368,0.11,0.00810355939603478,"Cartpt"
"Ap1s2",4.69691074457792e-07,0.4416325190887,0.889,0.706,0.0135350876926502,"Ap1s2"
"Chrna3",6.01111467911508e-07,-1.16123055146418,0.026,0.243,0.0173222291708059,"Chrna3"
"Barhl1",6.96572581712008e-07,1.00588715695522,0.402,0.132,0.0200731320871949,"Barhl1"
"Nrxn3",8.19503782020702e-07,-0.307152213689776,0.974,1,0.0236156404864906,"Nrxn3"
"Ets2",1.02745733762183e-06,0.599785023651583,0.778,0.463,0.0296082380982482,"Ets2"
"Tcf7l2",1.12308225496788e-06,0.528672279749285,0.846,0.706,0.0323638613414094,"Tcf7l2"
"Sox14",1.32785878764068e-06,-1.09301406853078,0.12,0.375,0.0382649066834414,"Sox14"
"Calb1",1.424254572636e-06,0.625035817148928,0.709,0.559,0.0410427440196516,"Calb1"
"1700086L19Rik",1.67704674227726e-06,0.915984415699872,0.496,0.25,0.0483274559722038,"1700086L19Rik"
"Nxph4",1.8535881530668e-06,1.14164846073954,0.342,0.11,0.053414849806926,"Nxph4"
"Fxyd7",2.10896702226941e-06,0.39521795374245,0.872,0.669,0.0607741026807377,"Fxyd7"
"Fgf13",3.03800175342994e-06,0.458877013436349,0.889,0.787,0.0875460965285906,"Fgf13"
"Pax7",4.11174244498629e-06,-0.919809525725294,0.222,0.463,0.11848808203717,"Pax7"
"Cpne6",4.67015832309981e-06,0.577378467164755,0.744,0.507,0.134579952396767,"Cpne6"
"Cdh13",5.6252649275935e-06,0.441030398921643,0.957,0.831,0.162103259418462,"Cdh13"
"Grm4",8.82655197675414e-06,0.624067997410618,0.632,0.382,0.254354748314124,"Grm4"
"Ppp3r1",9.04267848716082e-06,0.266115900847385,0.957,0.86,0.260582865964513,"Ppp3r1"
"Gm47692",9.2652051252141e-06,0.679837094220777,0.171,0.015,0.266995416093295,"Gm47692"
"Pnoc",9.64674541341142e-06,-0.973105374580091,0.162,0.39,0.277990262578277,"Pnoc"
"Lhx2",9.6503392438217e-06,0.759063606957141,0.47,0.213,0.27809382598921,"Lhx2"
"Flot2",1.0640298160981e-05,0.465771151082833,0.778,0.61,0.30662147210499,"Flot2"
"Gm13584",1.18832388494465e-05,1.01898177875939,0.231,0.044,0.3424392939245,"Gm13584"
"Dkk3",1.21901974033199e-05,0.777910212871198,0.556,0.353,0.351284918571469,"Dkk3"
"Gap43",1.30796617923687e-05,0.207950314202491,0.991,0.926,0.376916613870689,"Gap43"
"Lef1",1.41109737112689e-05,0.487590407048924,0.812,0.625,0.406635929437635,"Lef1"
"Tctn3",1.48477120262726e-05,0.82820601941365,0.402,0.154,0.427866517461097,"Tctn3"
"Dclk3",2.21212305659916e-05,0.895686500175063,0.419,0.199,0.637467501220179,"Dclk3"
"Ebf1",2.43082648676272e-05,0.526435730416261,0.803,0.721,0.700491268690414,"Ebf1"
"Barhl2",2.56197783486235e-05,0.871685991939208,0.308,0.103,0.738285152672283,"Barhl2"
"Gm24289",3.07077573257317e-05,0.883276512538787,0.41,0.184,0.884905442855609,"Gm24289"
"Ldb2",3.1581044884327e-05,0.482077252821995,0.863,0.721,0.910070970431652,"Ldb2"
"Polr1e",3.31543498217066e-05,0.76105386431496,0.453,0.221,0.955408898812119,"Polr1e"
"Palld",3.67489663411795e-05,0.410000714322289,0.821,0.632,1,"Palld"
"Ephb1",3.68712177387815e-05,0.455102861787755,0.855,0.728,1,"Ephb1"
"Il34",3.74021384738126e-05,0.652861204585319,0.607,0.426,1,"Il34"
"Sez6l",4.32904284328421e-05,0.44274299697842,0.803,0.669,1,"Sez6l"
"Id4",4.97033753216499e-05,0.492316949956207,0.752,0.596,1,"Id4"
"Tal1",5.22448723054206e-05,-0.746993852979302,0.128,0.353,1,"Tal1"
"Gm28050",5.37649804484203e-05,0.653115395856279,0.504,0.265,1,"Gm28050"
"Mafk",5.90065179937433e-05,0.758621456010142,0.316,0.103,1,"Mafk"
