"","ref.p_val","ref.avg_log2FC","ref.pct.1","ref.pct.2","ref.p_val_adj","gene"
"Gad2",0,-2.43218863483267,0.025,0.937,0,"Gad2"
"Slc17a6",0,1.35278937536084,0.687,0.017,0,"Slc17a6"
"Cacna2d1",0,1.04471609934667,0.593,0.013,0,"Cacna2d1"
"Gad1",0,-2.66390481364152,0.015,0.95,0,"Gad1"
"Slc32a1",0,-1.61951478974008,0.013,0.774,0,"Slc32a1"
"Nrn1",0,1.91751549857561,0.837,0.013,0,"Nrn1"
"Shox2",3.02513669099657e-290,1.14869874738357,0.521,0.022,4.56220864369193e-286,"Shox2"
"Fxyd7",1.52732446828911e-249,1.18513677912803,0.726,0.202,2.30335803062681e-245,"Fxyd7"
"Lmo1",4.33153853485004e-229,-1.5599460179502,0.135,0.673,6.53239326440735e-225,"Lmo1"
"Slc6a1",5.89980753868363e-222,-1.27048985857882,0.348,0.82,8.89749974908878e-218,"Slc6a1"
"Lhx1os",5.2619570353939e-215,-0.98488266604559,0.035,0.576,7.93555740507754e-211,"Lhx1os"
"Rpp25",1.57106544847846e-214,-0.995696614970974,0.04,0.575,2.36932380285036e-210,"Rpp25"
"Otx2",8.97036861419208e-196,-0.981695689288738,0.012,0.509,1.35282129070631e-191,"Otx2"
"Calb1",5.9039134325932e-192,0.945874939704263,0.37,0.017,8.90369184769381e-188,"Calb1"
"Fam19a1",3.44019605694575e-191,0.932454850205076,0.506,0.084,5.18815967347989e-187,"Fam19a1"
"Rtn1",9.47448756572391e-173,1.00310283978427,0.975,0.78,1.42884746978682e-168,"Rtn1"
"Tmem163",2.2996596802402e-172,0.596322649414924,0.385,0.034,3.46811676377024e-168,"Tmem163"
"Asic4",2.97988380809722e-169,-0.774651121082496,0.005,0.447,4.49396277099142e-165,"Asic4"
"Ebf1",1.53500779904569e-164,0.861023267012528,0.42,0.054,2.31494526174081e-160,"Ebf1"
"Syt4",5.99511017747917e-163,0.89039079683415,0.755,0.284,9.04122565865633e-159,"Syt4"
"Barhl1",1.81031366723117e-155,0.542176386469223,0.268,0,2.73013404155133e-151,"Barhl1"
"Nptx2",1.65874191889181e-152,0.545652073781703,0.324,0.022,2.50154868788074e-148,"Nptx2"
"RP23-407N2.2",1.21537712282834e-147,0.836179903096908,0.784,0.401,1.83291023893742e-143,"RP23-407N2.2"
"Cdhr1",3.22962715631941e-140,-1.01539967651867,0.007,0.391,4.87060071444531e-136,"Cdhr1"
"Lhx9",1.35038269538409e-138,0.421977926023993,0.25,0.003,2.03651214290874e-134,"Lhx9"
"Gda",4.96640647266273e-133,1.0123511930156,0.268,0.012,7.48983760142266e-129,"Gda"
"Tmsb10",4.99766069469053e-133,1.08889898723695,0.976,0.876,7.53697209366278e-129,"Tmsb10"
"Lmo3",1.41014106875185e-130,0.753301027471752,0.449,0.109,2.12663374578467e-126,"Lmo3"
"Lhx2",1.13934574945752e-128,0.39262122968929,0.246,0.007,1.71824732475688e-124,"Lhx2"
"Pou4f1",4.03622516661577e-127,0.441831840832626,0.231,0.003,6.08703117377324e-123,"Pou4f1"
"Gata3",1.52648154730931e-122,-0.58133280934826,0.004,0.347,2.30208682149718e-118,"Gata3"
"Nrgn",3.69721594412679e-117,1.11810948384338,0.542,0.208,5.5757713653376e-113,"Nrgn"
"Rit2",8.63528850236136e-116,0.663175365663691,0.644,0.263,1.30228785904112e-111,"Rit2"
"Necab1",1.42390681935913e-113,0.603775954614061,0.285,0.033,2.1473938742755e-109,"Necab1"
"Tal1",5.73746633491375e-113,-0.496187353786317,0.002,0.322,8.65267297968343e-109,"Tal1"
"Ppp3ca",1.21081195690358e-112,0.893943958295581,0.894,0.731,1.82602551220629e-108,"Ppp3ca"
"Sepw1",1.36601285491755e-111,1.03031871788326,0.992,0.98,2.06008398650115e-107,"Sepw1"
"Sox14",5.16293025581379e-111,-0.550591213075322,0.003,0.319,7.78621511879278e-107,"Sox14"
"Rmst",6.77980365394998e-111,0.55930306285802,0.433,0.114,1.0224621890522e-106,"Rmst"
"Tpd52l1",1.00341261180992e-110,1.0296144176222,0.392,0.095,1.51324655987055e-106,"Tpd52l1"
"Cplx3",8.85363663637278e-107,-0.710210625339344,0.001,0.306,1.33521694113138e-102,"Cplx3"
"Scn2a1",6.39057569398424e-103,0.735282091264256,0.786,0.503,9.63762720409763e-99,"Scn2a1"
"Cabp7",1.85926124808146e-102,0.649003835887306,0.375,0.091,2.80395188823165e-98,"Cabp7"
"Gfra1",3.04935799937449e-101,0.527441867198976,0.274,0.037,4.59873679885667e-97,"Gfra1"
"Nrxn3",8.13651377458574e-101,-0.712230981473782,0.437,0.774,1.22706764234528e-96,"Nrxn3"
"Gng13",2.29564598997218e-100,0.626492667631007,0.61,0.253,3.46206371747704e-96,"Gng13"
"Sncg",1.62345046489515e-99,0.74119049844493,0.206,0.01,2.44832564610838e-95,"Sncg"
"Nell2",1.64832809428462e-98,0.703486026089961,0.433,0.139,2.48584359899063e-94,"Nell2"
"Nek7",9.57907321833366e-98,0.361363322933546,0.224,0.018,1.4446200320569e-93,"Nek7"
"Nrxn1",1.6112746642284e-97,0.716667843562542,0.852,0.629,2.42996332112286e-93,"Nrxn1"
"Rps19",4.22933541734391e-97,0.717605654728784,0.959,0.965,6.37826074289635e-93,"Rps19"
"Epha5",3.29857253721461e-96,0.726998697333328,0.687,0.368,4.97457724337335e-92,"Epha5"
"Pcbp3",2.59824863809803e-94,-0.793966229580251,0.186,0.502,3.91841877111564e-90,"Pcbp3"
"Npnt",1.82765351224926e-93,1.01183784621432,0.289,0.052,2.75628426182312e-89,"Npnt"
"Cxcl14",1.4317861355146e-92,-1.52577977275698,0.117,0.424,2.15927667096957e-88,"Cxcl14"
"Gria2",7.36787153104079e-91,0.795410138468864,0.95,0.871,1.11114870559626e-86,"Gria2"
"Gm27199",1.06534989954039e-90,-0.410982435462924,0.005,0.273,1.60665418349686e-86,"Gm27199"
"Rasgrp1",1.12856920030685e-90,0.420671032837865,0.24,0.03,1.70199521098276e-86,"Rasgrp1"
"Nptx1",1.55830985587744e-90,0.614732321037901,0.459,0.164,2.35008709364877e-86,"Nptx1"
"B3gat1",3.43396200581299e-90,0.594394790780236,0.463,0.173,5.17875810096657e-86,"B3gat1"
"Synpr",8.23557302807616e-90,-0.784997968473599,0.088,0.397,1.24200676836417e-85,"Synpr"
"Fgf13",1.50043203999478e-89,0.498890942569692,0.382,0.109,2.26280155951612e-85,"Fgf13"
"App",5.06217239778756e-88,0.660982395202925,0.887,0.68,7.63426219310342e-84,"App"
