"","subclone","genotype","idx","variable","value","all_idx"
"1","PS09.GREEN","M11GTTG-Fz10-CreER",1,"inh",0,1
"59","PS09.GREEN","M11GTTG-Fz10-CreER",1,"exc",1,1
"2","PS11.RED","M11GTTG-Fz10-CreER",2,"inh",0,2
"60","PS11.RED","M11GTTG-Fz10-CreER",2,"exc",1,2
"3","PS23.GREEN","M11GTTG-Fz10-CreER",3,"inh",0,3
"61","PS23.GREEN","M11GTTG-Fz10-CreER",3,"exc",1,3
"4","PS29.GREEN","M11GTTG-Fz10-CreER",4,"inh",0,4
"62","PS29.GREEN","M11GTTG-Fz10-CreER",4,"exc",1,4
"31","PS35.RED","M11GTTG-Sox2-CreER",1,"inh",0,5
"89","PS35.RED","M11GTTG-Sox2-CreER",1,"exc",1,5
"32","PS37.RED","M11GTTG-Sox2-CreER",2,"inh",0.2,6
"90","PS37.RED","M11GTTG-Sox2-CreER",2,"exc",0.8,6
"33","PS38.GREEN","M11GTTG-Sox2-CreER",3,"inh",0.2,7
"91","PS38.GREEN","M11GTTG-Sox2-CreER",3,"exc",0.8,7
"34","PS32.GREEN","M11GTTG-Sox2-CreER",4,"inh",0.25,8
"92","PS32.GREEN","M11GTTG-Sox2-CreER",4,"exc",0.75,8
"35","PS47.GREEN","M11GTTG-Sox2-CreER",5,"inh",0.25,9
"93","PS47.GREEN","M11GTTG-Sox2-CreER",5,"exc",0.75,9
"5","PS05.RED","M11GTTG-Fz10-CreER",5,"inh",0.333333333333333,10
"63","PS05.RED","M11GTTG-Fz10-CreER",5,"exc",0.666666666666667,10
"6","PS16.GREEN","M11GTTG-Fz10-CreER",6,"inh",0.333333333333333,11
"64","PS16.GREEN","M11GTTG-Fz10-CreER",6,"exc",0.666666666666667,11
"7","PS24.RED","M11GTTG-Fz10-CreER",7,"inh",0.333333333333333,12
"65","PS24.RED","M11GTTG-Fz10-CreER",7,"exc",0.666666666666667,12
"36","PS32.RED","M11GTTG-Sox2-CreER",6,"inh",0.333333333333333,13
"94","PS32.RED","M11GTTG-Sox2-CreER",6,"exc",0.666666666666667,13
"37","PS35.GREEN","M11GTTG-Sox2-CreER",7,"inh",0.333333333333333,14
"95","PS35.GREEN","M11GTTG-Sox2-CreER",7,"exc",0.666666666666667,14
"38","PS39.RED","M11GTTG-Sox2-CreER",8,"inh",0.333333333333333,15
"96","PS39.RED","M11GTTG-Sox2-CreER",8,"exc",0.666666666666667,15
