"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Gm37174",4.63558668125809e-12,1.51153946836199,0.333,0.008,1.33583701393814e-07,"MEINH12","Gm37174"
"Tbx3",6.92018988723312e-10,1.07496933992514,0.333,0.012,1.99419111980397e-05,"MEINH12","Tbx3"
"Pifo",3.36924351278869e-09,1.17067057593052,0.222,0.004,9.70914903080317e-05,"MEINH12","Pifo"
"Gm36363",2.1544344320254e-07,0.345792869325261,0.111,0,0.0062084337027676,"MEINH12","Gm36363"
"Gm43051",3.83649003794265e-07,1.07286670352087,0.222,0.008,0.0110556133423393,"MEINH12","Gm43051"
"Gm6211",4.29421984173196e-07,0.933501442603249,0.222,0.008,0.012374653317919,"MEINH12","Gm6211"
"Fabp1",4.80441778400608e-07,1.12318606890383,0.222,0.008,0.0138448907281703,"MEINH12","Fabp1"
"Hmgb1-ps9",4.80441778400608e-07,0.966157847044126,0.222,0.008,0.0138448907281703,"MEINH12","Hmgb1-ps9"
"Krt75",5.37283613298537e-07,1.01268280035921,0.222,0.008,0.0154829018844239,"MEINH12","Krt75"
"Gm5492",2.20665793373444e-06,1.4195329338696,0.333,0.029,0.0635892616764252,"MEINH12","Gm5492"
"Adnp",4.54959722638278e-06,1.32776407363463,0.444,0.057,0.131105743272673,"MEINH12","Adnp"
"H2-Aa",4.59732730030004e-06,1.48889057338807,0.333,0.029,0.132481180812746,"MEINH12","H2-Aa"
"Gm31925",7.37337004686457e-06,1.20007652188935,0.222,0.012,0.212478404640496,"MEINH12","Gm31925"
"Psg27",8.06779799219089e-06,1.48717358942289,0.222,0.012,0.232489734740965,"MEINH12","Psg27"
"Ffar2",9.64872125319445e-06,1.33103368926555,0.222,0.012,0.278047200353305,"MEINH12","Ffar2"
"Olfr291",9.64872125319445e-06,1.13953363117192,0.222,0.012,0.278047200353305,"MEINH12","Olfr291"
"Gm30146",9.64872125319445e-06,0.921129596419486,0.222,0.012,0.278047200353305,"MEINH12","Gm30146"
"4930579K19Rik",2.98334614458324e-05,1.53460563783771,0.333,0.037,0.859710858484553,"MEINH12","4930579K19Rik"
"Zfp268",3.87160741973984e-05,1.3787124983602,0.556,0.123,1,"MEINH12","Zfp268"
"Appbp2os",4.14628912201919e-05,1.23436437125043,0.333,0.037,1,"MEINH12","Appbp2os"
"Lax1",5.37683792573489e-05,1.24578297257787,0.222,0.016,1,"MEINH12","Lax1"
"Ceacam18",5.37683792573489e-05,1.13616680090378,0.222,0.016,1,"MEINH12","Ceacam18"
"Comp",6.72475190727207e-05,1.194921498947,0.222,0.016,1,"MEINH12","Comp"
"B230322F03Rik",6.72475190727207e-05,1.0245830619434,0.222,0.016,1,"MEINH12","B230322F03Rik"
"Gm47154",6.72475190727207e-05,1.00405136016351,0.222,0.016,1,"MEINH12","Gm47154"
"Gm38111",6.72475190727207e-05,0.985731563184813,0.222,0.016,1,"MEINH12","Gm38111"
"Itpripl1",6.72475190727207e-05,0.781702754479081,0.222,0.016,1,"MEINH12","Itpripl1"
"Kcnrg",7.24107363537767e-05,0.891234056157603,0.222,0.016,1,"MEINH12","Kcnrg"
"Zfp78",0.000123537309670521,1.30737151518719,0.444,0.074,1,"MEINH12","Zfp78"
"Gm12464",0.000145469687015994,1.07795268775413,0.333,0.045,1,"MEINH12","Gm12464"
"Gm14760",0.000224825566496701,0.89049877367461,0.222,0.02,1,"MEINH12","Gm14760"
"Blcap",0.000239536635329509,0.410308904252384,1,0.893,1,"MEINH12","Blcap"
"Mgat4e",0.000239693309536849,1.15666123345364,0.222,0.02,1,"MEINH12","Mgat4e"
"Gm15766",0.000272237280902828,0.912747550325902,0.222,0.02,1,"MEINH12","Gm15766"
"Gm18169",0.00029002080299545,0.842734345190173,0.222,0.02,1,"MEINH12","Gm18169"
"1110028F18Rik",0.000308888137810547,0.788238571837213,0.222,0.02,1,"MEINH12","1110028F18Rik"
"Gm16263",0.000328900004483533,1.06335864193255,0.222,0.02,1,"MEINH12","Gm16263"
"Aldh3a1",0.000328900004483533,0.942511512998681,0.222,0.02,1,"MEINH12","Aldh3a1"
"Gm18722",0.000328900004483533,0.628635159815892,0.222,0.02,1,"MEINH12","Gm18722"
"A930014D07Rik",0.000372615616957164,0.751227451146101,0.222,0.02,1,"MEINH12","A930014D07Rik"
"Gm20531",0.000380846943848664,0.94664926086057,0.111,0.004,1,"MEINH12","Gm20531"
"A830005F24Rik",0.000380846943848664,0.819300123492727,0.111,0.004,1,"MEINH12","A830005F24Rik"
"Gpr15",0.000380846943848664,0.778430522618076,0.111,0.004,1,"MEINH12","Gpr15"
"Krt76",0.000380846943848664,0.648215458159645,0.111,0.004,1,"MEINH12","Krt76"
"Gm42571",0.000380846943848664,0.609953438300392,0.111,0.004,1,"MEINH12","Gm42571"
"Gm28309",0.000380846943848664,0.37527057812486,0.111,0.004,1,"MEINH12","Gm28309"
"Gm5873",0.000427055834185638,0.458258456397362,0.111,0.004,1,"MEINH12","Gm5873"
"Kcna1",0.000438069659371733,-1.90665787395011,0.111,0.73,1,"MEINH12","Kcna1"
"Gm45670",0.000467590807306642,1.37174292933834,0.444,0.09,1,"MEINH12","Gm45670"
"Rhobtb3",0.000476624480626298,1.02687897546089,0.889,0.455,1,"MEINH12","Rhobtb3"
"Arpc2",0.000538123949546916,0.388717736794472,1,0.873,1,"MEINH12","Arpc2"
"Ocel1",0.000548785843490832,1.19904851876308,0.889,0.43,1,"MEINH12","Ocel1"
"Ndufb7",0.000640702755426505,0.351076218861035,1,0.885,1,"MEINH12","Ndufb7"
"Nnat",0.000648059693820223,0.673470262353916,1,0.713,1,"MEINH12","Nnat"
"Gad2",0.000662739497402601,0.673592605627767,1,0.803,1,"MEINH12","Gad2"
"Gm34220",0.000688353370352155,1.1650972961772,0.556,0.148,1,"MEINH12","Gm34220"
"Gm13256",0.000724233468674717,1.35188848192087,0.778,0.201,1,"MEINH12","Gm13256"
"Dxo",0.000725023485670625,1.4270152305185,0.667,0.217,1,"MEINH12","Dxo"
"Coq3",0.000736585356907204,1.04767051422833,0.889,0.402,1,"MEINH12","Coq3"
"Ppme1",0.00074095664186914,0.522213598051291,1,0.82,1,"MEINH12","Ppme1"
"Cib1",0.000764718302017148,1.35540925683527,0.556,0.148,1,"MEINH12","Cib1"
"2900064F13Rik",0.000783630392514342,1.09327307900305,0.222,0.025,1,"MEINH12","2900064F13Rik"
"Gm9028",0.000828145335259136,1.18684832859025,0.222,0.025,1,"MEINH12","Gm9028"
"Gm36287",0.000838054532444369,1.18785457666586,0.333,0.057,1,"MEINH12","Gm36287"
"Gm11339",0.000874996579048517,1.15872450225638,0.222,0.025,1,"MEINH12","Gm11339"
"Fbxw18",0.000874996579048517,0.83417888344065,0.222,0.025,1,"MEINH12","Fbxw18"
"Zfp993",0.000904910215068575,1.00062833052173,0.333,0.057,1,"MEINH12","Zfp993"
"Gm36745",0.000924295198633371,1.04636465214112,0.222,0.025,1,"MEINH12","Gm36745"
"Gm49846",0.000924295198633371,0.948250303446419,0.222,0.025,1,"MEINH12","Gm49846"
"Gm27198",0.000924295198633371,0.655889741075253,0.222,0.025,1,"MEINH12","Gm27198"
"Glo1-ps",0.000973807117262317,1.01812650494814,0.889,0.402,1,"MEINH12","Glo1-ps"
"Mir341",0.000976156895300878,1.18266529960998,0.222,0.025,1,"MEINH12","Mir341"
"Atp5k-ps2",0.000994260787639594,1.22539716910641,0.444,0.107,1,"MEINH12","Atp5k-ps2"
"AA388235",0.00103070215461953,0.918689123371204,0.222,0.025,1,"MEINH12","AA388235"
"Gm49127",0.00108805640778997,0.740432123994352,0.222,0.025,1,"MEINH12","Gm49127"
"Dazap1",0.00109169487957092,0.666823468975834,0.889,0.668,1,"MEINH12","Dazap1"
"Zdhhc12",0.00113628718504077,1.31972296545456,0.333,0.057,1,"MEINH12","Zdhhc12"
"Pcp4",0.00117495839332163,0.267614271097574,1,0.934,1,"MEINH12","Pcp4"
"Pcdh20",0.00126473902882802,1.29314630374013,0.556,0.176,1,"MEINH12","Pcdh20"
"Pcgf2",0.00126851050026766,1.14774109016007,0.778,0.324,1,"MEINH12","Pcgf2"
"E030044B06Rik",0.00154793602276599,1.32067442784653,0.222,0.029,1,"MEINH12","E030044B06Rik"
"Gm534",0.00158469173433732,1.30102165176294,0.333,0.061,1,"MEINH12","Gm534"
"Gm21885",0.00162297143600912,1.43531552020233,0.333,0.066,1,"MEINH12","Gm21885"
"Smtnl2",0.00162663027554115,1.1122009786285,0.222,0.029,1,"MEINH12","Smtnl2"
"Gm5521",0.00179517309822436,0.811693829986056,0.222,0.029,1,"MEINH12","Gm5521"
"1500002C15Rik",0.0018005769686309,1.20451054208883,0.333,0.066,1,"MEINH12","1500002C15Rik"
"Gm10605",0.00181437212067594,1.25470222319467,0.444,0.111,1,"MEINH12","Gm10605"
"Gad1",0.00198456667847498,0.67913438636067,1,0.758,1,"MEINH12","Gad1"
"Baiap3",0.00206822871027692,1.03327025139671,0.889,0.348,1,"MEINH12","Baiap3"
"Zbed3",0.0020749034989719,1.11318953275163,0.556,0.16,1,"MEINH12","Zbed3"
"Gm37264",0.00207824911271901,0.66346392218069,0.222,0.029,1,"MEINH12","Gm37264"
"Rsrc1",0.00212662737152767,0.593746667416268,1,0.861,1,"MEINH12","Rsrc1"
"Supt7l",0.00220185380863332,0.881806648842227,0.889,0.627,1,"MEINH12","Supt7l"
"Gm41561",0.0022891220049371,1.01173806541654,0.222,0.029,1,"MEINH12","Gm41561"
"Rpl8",0.00232637752437109,0.217156573312278,1,0.975,1,"MEINH12","Rpl8"
"Igsf9b",0.00235498099573351,-1.58118731130052,0,0.57,1,"MEINH12","Igsf9b"
"Gm2721",0.0024017504099855,0.879965912904922,0.222,0.029,1,"MEINH12","Gm2721"
"Nova2",0.00254535578255846,0.906971328762392,1,0.525,1,"MEINH12","Nova2"
"Trp53inp2",0.00312990748526592,-1.88524669529929,0.111,0.607,1,"MEINH12","Trp53inp2"
"Arhgef26",0.00315325708381544,-1.22828959264834,0,0.549,1,"MEINH12","Arhgef26"
"Fzd7",0.00318496140762038,1.16978208852785,0.333,0.07,1,"MEINH12","Fzd7"
"Tomm6",0.00322208814782849,0.893880374436946,0.889,0.475,1,"MEINH12","Tomm6"
"Acd",0.00323991100343683,0.893581582119565,0.889,0.602,1,"MEINH12","Acd"
"Smcr8",0.00344933643397059,1.01046373392706,0.444,0.119,1,"MEINH12","Smcr8"
"Cbx4",0.0034650869017625,0.838879990606584,0.889,0.557,1,"MEINH12","Cbx4"
"4732496C06Rik",0.0035052847280926,1.10855113173478,0.333,0.07,1,"MEINH12","4732496C06Rik"
"Lmo1",0.00351186301335053,0.951013020954647,0.889,0.439,1,"MEINH12","Lmo1"
"Hnrnph3",0.0035238019332792,0.821087288575429,1,0.578,1,"MEINH12","Hnrnph3"
"Ppfia1",0.00353432959400697,-1.6143995673385,0,0.541,1,"MEINH12","Ppfia1"
"Zfp688",0.00355600615675794,1.20421054606105,0.556,0.18,1,"MEINH12","Zfp688"
"Gm26621",0.00366009459490222,1.04173120405777,0.222,0.033,1,"MEINH12","Gm26621"
"Efs",0.00375571385378742,0.888383627508125,0.333,0.066,1,"MEINH12","Efs"
"Rabep1",0.00386361657522739,-0.84088962313501,0.556,0.906,1,"MEINH12","Rabep1"
"4931415C17Rik",0.00393902007535722,1.25810821705902,0.444,0.135,1,"MEINH12","4931415C17Rik"
"Fth1-ps",0.00395552503625081,-1.82727124485321,0,0.533,1,"MEINH12","Fth1-ps"
"Gm17571",0.0039946861789296,1.21278247989807,0.222,0.033,1,"MEINH12","Gm17571"
"Gm19276",0.0039946861789296,0.607632672265625,0.222,0.033,1,"MEINH12","Gm19276"
"Scx",0.00404829601525755,1.22274571419784,0.333,0.074,1,"MEINH12","Scx"
"Gm21981",0.00413602253486909,0.823804405235186,0.889,0.533,1,"MEINH12","Gm21981"
"Gm50205",0.0041721892878968,0.708392813693056,0.222,0.033,1,"MEINH12","Gm50205"
"Gm5706",0.00421703252871576,0.97039727892847,0.333,0.078,1,"MEINH12","Gm5706"
"Psen1",0.00426312061210999,0.865202385800705,0.889,0.508,1,"MEINH12","Psen1"
"Dmrtb1",0.00435681878813345,1.1092801932635,0.222,0.033,1,"MEINH12","Dmrtb1"
"Gm527",0.00435681878813345,0.928803769902706,0.222,0.033,1,"MEINH12","Gm527"
"Brsk1",0.00442040789213635,-1.70952992943318,0,0.525,1,"MEINH12","Brsk1"
"Nucb1",0.00452904076816218,0.851452764786291,0.889,0.471,1,"MEINH12","Nucb1"
"Trim9",0.00453019089049449,0.597743183977875,1,0.766,1,"MEINH12","Trim9"
"Rapgef5",0.00453115544273177,0.786232499139517,0.889,0.607,1,"MEINH12","Rapgef5"
"Gm49182",0.00474846353521746,0.716958158447211,0.222,0.033,1,"MEINH12","Gm49182"
"Pnlip",0.00474846353521746,0.586458971056675,0.222,0.033,1,"MEINH12","Pnlip"
"Gm13982",0.0049877186265819,1.00130386551087,0.111,0.008,1,"MEINH12","Gm13982"
"Gm49252",0.0049877186265819,0.969778010480697,0.111,0.008,1,"MEINH12","Gm49252"
"5430425K12Rik",0.0049877186265819,0.911318487750225,0.111,0.008,1,"MEINH12","5430425K12Rik"
"Fam180a",0.0049877186265819,0.841860628216891,0.111,0.008,1,"MEINH12","Fam180a"
"9530078K11Rik",0.0049877186265819,0.828617996870926,0.111,0.008,1,"MEINH12","9530078K11Rik"
"4930452G13Rik",0.0049877186265819,0.813541095018799,0.111,0.008,1,"MEINH12","4930452G13Rik"
"Gm10568",0.0049877186265819,0.717975230321983,0.111,0.008,1,"MEINH12","Gm10568"
"Ppnr",0.0049877186265819,0.704166382690555,0.111,0.008,1,"MEINH12","Ppnr"
"Gm44691",0.0049877186265819,0.698582767344209,0.111,0.008,1,"MEINH12","Gm44691"
"Gm5446",0.0049877186265819,0.659259458510526,0.111,0.008,1,"MEINH12","Gm5446"
"Krt4",0.0049877186265819,0.644268120561923,0.111,0.008,1,"MEINH12","Krt4"
"Gm37964",0.0049877186265819,0.643793599234656,0.111,0.008,1,"MEINH12","Gm37964"
"Gm20702",0.0049877186265819,0.570337188387076,0.111,0.008,1,"MEINH12","Gm20702"
"Tmem269",0.0049877186265819,0.556822212658781,0.111,0.008,1,"MEINH12","Tmem269"
"Gm42721",0.0049877186265819,0.506252812027812,0.111,0.008,1,"MEINH12","Gm42721"
"Synpr",0.00500757211057478,0.874090202070957,0.889,0.656,1,"MEINH12","Synpr"
"Gm50307",0.00503932447015997,0.931921355659009,0.333,0.078,1,"MEINH12","Gm50307"
"Atp9b",0.00504419756272583,0.498790494719147,1,0.934,1,"MEINH12","Atp9b"
"Zfp759",0.00516084417548044,0.861954558331382,0.333,0.074,1,"MEINH12","Zfp759"
"Mcrs1",0.00522269295665696,1.04265166793523,0.667,0.32,1,"MEINH12","Mcrs1"
"Gm14295",0.00538411135226525,1.10889795014412,0.444,0.131,1,"MEINH12","Gm14295"
"Mapk15",0.00538443110646093,0.776768375112151,0.111,0.008,1,"MEINH12","Mapk15"
"4930540M05Rik",0.00538443110646093,0.726705977215716,0.111,0.008,1,"MEINH12","4930540M05Rik"
"Gm15202",0.00538443110646093,0.687215215892444,0.111,0.008,1,"MEINH12","Gm15202"
"Gm37165",0.00538443110646093,0.646071683390146,0.111,0.008,1,"MEINH12","Gm37165"
"Gm48399",0.00538443110646093,0.634759323852292,0.111,0.008,1,"MEINH12","Gm48399"
"Foxf2",0.00538443110646093,0.58720580969877,0.111,0.008,1,"MEINH12","Foxf2"
"Gm7896",0.00538443110646093,0.574710403641781,0.111,0.008,1,"MEINH12","Gm7896"
"Gm6793",0.00538443110646093,0.563823588056221,0.111,0.008,1,"MEINH12","Gm6793"
"Gm49636",0.00538443110646093,0.541048367724243,0.111,0.008,1,"MEINH12","Gm49636"
"Mnd1-ps",0.00538443110646093,0.490584759286596,0.111,0.008,1,"MEINH12","Mnd1-ps"
"Gm6855",0.00538443110646093,0.486717614793381,0.111,0.008,1,"MEINH12","Gm6855"
"Gm42790",0.00538443110646093,0.456210958315751,0.111,0.008,1,"MEINH12","Gm42790"
"A530040E14Rik",0.00538443110646093,0.43164931007775,0.111,0.008,1,"MEINH12","A530040E14Rik"
"A530006G24Rik",0.00538443110646093,0.4209794413142,0.111,0.008,1,"MEINH12","A530006G24Rik"
"3300005D01Rik",0.00538443110646093,0.407592139631951,0.111,0.008,1,"MEINH12","3300005D01Rik"
"Art1",0.00538443110646093,0.315574559938886,0.111,0.008,1,"MEINH12","Art1"
"Gm11655",0.00538684790939548,1.2235427464094,0.222,0.037,1,"MEINH12","Gm11655"
"Chtf18",0.00539585999878623,0.317183275391724,0.222,0.033,1,"MEINH12","Chtf18"
"Gas5",0.00542307682182079,0.241579659153087,1,0.955,1,"MEINH12","Gas5"
"Clcn5",0.00549657745018594,-1.45208029926719,0,0.508,1,"MEINH12","Clcn5"
"Fry",0.00551041947580377,-0.842712485826534,0.667,0.898,1,"MEINH12","Fry"
"Acyp2",0.00554605868213655,0.568377457871776,0.889,0.795,1,"MEINH12","Acyp2"
"Gm7478",0.00560882001111197,0.941884181719764,0.222,0.037,1,"MEINH12","Gm7478"
"Sptbn2",0.00563619993300701,0.582549626024898,0.889,0.725,1,"MEINH12","Sptbn2"
"Igll1",0.00580941778829581,0.618479971457116,0.111,0.008,1,"MEINH12","Igll1"
"Pramel20",0.00580941778829581,0.574624599163346,0.111,0.008,1,"MEINH12","Pramel20"
"Gm49017",0.00580941778829581,0.545661921207153,0.111,0.008,1,"MEINH12","Gm49017"
"Gm8976",0.00580941778829581,0.433686156822448,0.111,0.008,1,"MEINH12","Gm8976"
"Gm43176",0.00580941778829581,0.409732863858972,0.111,0.008,1,"MEINH12","Gm43176"
"Gm50356",0.00580941778829581,0.390174053192934,0.111,0.008,1,"MEINH12","Gm50356"
"Osgin1",0.00580941778829581,0.329787437073318,0.111,0.008,1,"MEINH12","Osgin1"
"Gm15066",0.00580941778829581,0.251232145206379,0.111,0.008,1,"MEINH12","Gm15066"
"Rab43",0.0058148801161227,0.673063080032951,0.333,0.074,1,"MEINH12","Rab43"
"Lrrc9",0.00584252709405191,-1.01613857391685,0.222,0.721,1,"MEINH12","Lrrc9"
"Fzd3",0.00589212418764742,0.63904643385414,0.889,0.648,1,"MEINH12","Fzd3"
