"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Sln",1.0576386890864e-257,2.56169573978926,0.448,0.006,1.59502490701119e-253,"MEGLU6","Sln"
"Gda",5.04187593707276e-250,2.8716829643804,0.895,0.069,7.60365310069943e-246,"MEGLU6","Gda"
"Tmem132c",2.76826685127296e-243,1.55800049864703,0.762,0.044,4.17482323840475e-239,"MEGLU6","Tmem132c"
"Cbln2",4.10143905574425e-232,2.50430005389638,0.937,0.089,6.18538023996791e-228,"MEGLU6","Cbln2"
"Npnt",5.7663248617895e-230,3.00283468170403,0.965,0.102,8.69619452406474e-226,"MEGLU6","Npnt"
"Gpc3",1.31099277229921e-223,0.878193620409597,0.503,0.015,1.97710819990444e-219,"MEGLU6","Gpc3"
"Hpgd",1.16570504946747e-197,0.607602693720938,0.336,0.004,1.7579997851019e-193,"MEGLU6","Hpgd"
"Kcnd3",2.88283987754189e-172,2.3460498639772,0.958,0.152,4.34761081932093e-168,"MEGLU6","Kcnd3"
"Scml2",1.92598094791455e-161,0.436380357139681,0.259,0.003,2.90457186754994e-157,"MEGLU6","Scml2"
"Amhr2",2.18100516320086e-151,0.411055192742114,0.273,0.004,3.28917388662322e-147,"MEGLU6","Amhr2"
"Egflam",3.06659125925259e-151,0.570381725710203,0.399,0.016,4.62472627807882e-147,"MEGLU6","Egflam"
"Hcn1",1.40205873871755e-144,1.96205097521532,0.923,0.169,2.11444478385994e-140,"MEGLU6","Hcn1"
"Tpd52l1",4.06851049491292e-136,2.78991701187972,0.888,0.171,6.13572067737818e-132,"MEGLU6","Tpd52l1"
"Necab1",5.14164294301091e-129,1.54922863224281,0.734,0.096,7.75411172235476e-125,"MEGLU6","Necab1"
"Atrnl1",5.37805123670864e-126,1.35593417564419,0.832,0.135,8.1106390700803e-122,"MEGLU6","Atrnl1"
"Scn3a",2.51552356834631e-122,1.92973672374049,0.986,0.26,3.79366109342307e-118,"MEGLU6","Scn3a"
"Pex5l",1.17435745711903e-121,1.25429763670774,0.72,0.099,1.77104848108121e-117,"MEGLU6","Pex5l"
"Tmem132b",1.62068322177671e-118,0.933392981623477,0.657,0.078,2.44415236676145e-114,"MEGLU6","Tmem132b"
"Bcl11b",2.52458681983036e-118,1.197232042222,0.741,0.106,3.80732938298616e-114,"MEGLU6","Bcl11b"
"Socs2",5.25285457091217e-117,0.770584043902176,0.559,0.053,7.92182997839265e-113,"MEGLU6","Socs2"
"Fam19a1",1.12845723317818e-113,1.68268853318301,0.93,0.204,1.70182635335601e-109,"MEGLU6","Fam19a1"
"Rasgrp1",1.15400564975286e-110,1.07570451378123,0.643,0.082,1.74035592039228e-106,"MEGLU6","Rasgrp1"
"Moxd1",9.90242248302555e-106,0.271502078330843,0.175,0.002,1.49338433466508e-101,"MEGLU6","Moxd1"
"Sv2b",4.16898414941521e-102,1.16611805897295,0.741,0.123,6.28724499573308e-98,"MEGLU6","Sv2b"
"Slc1a1",4.72423483575626e-102,1.76711945891972,0.881,0.233,7.12461855580401e-98,"MEGLU6","Slc1a1"
"Nell2",5.78774633023187e-100,1.61102063313048,0.895,0.215,8.72850024062268e-96,"MEGLU6","Nell2"
"Strip2",6.33525829547631e-99,0.696365095629982,0.497,0.05,9.55420303540783e-95,"MEGLU6","Strip2"
"Pou4f1",2.36223229846191e-95,0.991297457408273,0.538,0.064,3.56248252931041e-91,"MEGLU6","Pou4f1"
"Tmtc1",1.62806126513437e-94,1.18784159860741,0.727,0.136,2.45527919394915e-90,"MEGLU6","Tmtc1"
"Kcnc2",2.42670430514882e-89,1.57061064887306,0.902,0.264,3.65971276259494e-85,"MEGLU6","Kcnc2"
"Prex2",5.70466325399387e-89,1.01660347232748,0.58,0.083,8.60320265334816e-85,"MEGLU6","Prex2"
"Gabrd",1.18440864448494e-85,0.310170982110153,0.168,0.003,1.78620667674774e-81,"MEGLU6","Gabrd"
"Elmod1",2.20911736834459e-85,1.76846816304585,0.916,0.324,3.33156990320048e-81,"MEGLU6","Elmod1"
"Lhx9",7.14310525538251e-85,0.802434038991933,0.538,0.071,1.07725170356424e-80,"MEGLU6","Lhx9"
"Nrn1",1.7264654759009e-84,1.5924044462392,0.965,0.275,2.60368258420614e-80,"MEGLU6","Nrn1"
"Gpr149",1.6038421855747e-80,0.398056232797448,0.28,0.017,2.41875440006521e-76,"MEGLU6","Gpr149"
"Serpine2",2.60323311463061e-80,1.31984826520757,0.671,0.13,3.92593586017442e-76,"MEGLU6","Serpine2"
"Ttc28",2.09118152077436e-79,0.937800841952115,0.566,0.089,3.15371085147982e-75,"MEGLU6","Ttc28"
"Hddc2",2.17607142486026e-78,1.31482014734275,0.692,0.15,3.28173331583176e-74,"MEGLU6","Hddc2"
"Fam212b",2.25729855308989e-78,0.234505800988549,0.168,0.004,3.40423194791486e-74,"MEGLU6","Fam212b"
"Kcnb2",3.29002654308011e-78,1.16072825035071,0.706,0.156,4.96168902961911e-74,"MEGLU6","Kcnb2"
"Gabra4",7.95900762065715e-78,0.928920660684506,0.531,0.078,1.20029793927131e-73,"MEGLU6","Gabra4"
"Gria2",6.98363489135044e-77,1.88195521259187,1,0.894,1.05320197796456e-72,"MEGLU6","Gria2"
"Meis2",2.1205702569542e-75,1.65493811614715,0.986,0.373,3.19803200451263e-71,"MEGLU6","Meis2"
"Cdh13",3.26732704404752e-73,1.46618769320065,0.86,0.275,4.92745591512807e-69,"MEGLU6","Cdh13"
"Fgf13",2.510075925235e-71,1.03084802964095,0.748,0.183,3.7854455028469e-67,"MEGLU6","Fgf13"
"Satb1",2.0128565045742e-70,1.13613266909693,0.573,0.104,3.03558889454835e-66,"MEGLU6","Satb1"
"Slc17a6",1.96651130187813e-69,1.23012393568623,0.832,0.228,2.9656956943624e-65,"MEGLU6","Slc17a6"
"Rora",8.74890077189248e-68,1.75472869006853,0.944,0.462,1.31942172540911e-63,"MEGLU6","Rora"
"Sema3e",9.2377100050237e-67,0.486477643020894,0.35,0.036,1.39313904585762e-62,"MEGLU6","Sema3e"
"Scn2a1",6.94574933682797e-66,1.48112307924012,0.972,0.587,1.04748845748703e-61,"MEGLU6","Scn2a1"
"Ppp1r1b",7.85391200193132e-65,0.473576166103354,0.273,0.021,1.18444846901126e-60,"MEGLU6","Ppp1r1b"
"Kcnip2",1.87160044530555e-64,0.892219827863403,0.615,0.129,2.8225606315653e-60,"MEGLU6","Kcnip2"
"AA467197",2.02499700111753e-64,0.335501073725508,0.133,0.003,3.05389797738535e-60,"MEGLU6","AA467197"
"Cplx2",3.52249990486202e-63,2.36932056212041,0.958,0.644,5.31228210652241e-59,"MEGLU6","Cplx2"
"Sepw1",5.3303610610371e-63,2.24354165098189,0.993,0.984,8.03871751615004e-59,"MEGLU6","Sepw1"
"Gas7",1.31769699860949e-62,0.898381522683299,0.664,0.158,1.98721884360297e-58,"MEGLU6","Gas7"
"Atp2b1",1.31556361152357e-61,1.69586146969373,0.965,0.676,1.98400148253869e-57,"MEGLU6","Atp2b1"
"Sez6",2.52936641698497e-61,1.17928591326992,0.713,0.194,3.81453749345503e-57,"MEGLU6","Sez6"
"Nrbp2",6.13789207150273e-61,1.10414814539408,0.72,0.205,9.25655503303326e-57,"MEGLU6","Nrbp2"
"Sorl1",8.57531301121981e-60,1.30719378547415,0.86,0.318,1.29324295522206e-55,"MEGLU6","Sorl1"
"Tmem163",2.47748136941824e-59,0.815609962740891,0.629,0.138,3.73628965321965e-55,"MEGLU6","Tmem163"
"Grm1",2.70763148969246e-59,1.18348918567964,0.776,0.246,4.0833790496052e-55,"MEGLU6","Grm1"
"Syt4",7.45662491079087e-59,1.45147286462035,0.958,0.428,1.12453360279637e-54,"MEGLU6","Syt4"
"Ephb1",2.45789923093355e-58,0.954667517780751,0.755,0.225,3.70675783017089e-54,"MEGLU6","Ephb1"
"Vldlr",4.28092146523014e-58,0.946696923034453,0.671,0.173,6.45605766171357e-54,"MEGLU6","Vldlr"
"Camk2a",7.86904134086501e-58,1.36237576688112,0.811,0.308,1.18673012461585e-53,"MEGLU6","Camk2a"
"Gpr155",8.09243797597991e-58,0.637458252362018,0.517,0.097,1.22042057115753e-53,"MEGLU6","Gpr155"
"Msrb2",2.6666642994129e-56,0.666555619328627,0.469,0.082,4.0215964299446e-52,"MEGLU6","Msrb2"
"Lmo3",4.11878346249259e-56,1.0516706364599,0.734,0.208,6.21153733978508e-52,"MEGLU6","Lmo3"
"Trub1",4.25177977225329e-56,0.681502605693754,0.483,0.086,6.41210907453519e-52,"MEGLU6","Trub1"
"Adcy2",8.85960852300575e-56,0.886509485408596,0.692,0.186,1.3361175613545e-51,"MEGLU6","Adcy2"
"Jup",1.95085210780602e-55,0.464448177752547,0.343,0.042,2.94208006378225e-51,"MEGLU6","Jup"
"Epha5",5.60710104205704e-55,1.32397482034448,0.944,0.461,8.45606908152622e-51,"MEGLU6","Epha5"
"Asic2",1.42521630769621e-54,0.764085926644759,0.629,0.15,2.14936871363665e-50,"MEGLU6","Asic2"
"Camk2d",1.57059787960051e-54,1.4793434218069,0.923,0.523,2.36861866222554e-50,"MEGLU6","Camk2d"
"Bzrap1",3.07791057743195e-54,0.981384321832653,0.727,0.23,4.64179694182513e-50,"MEGLU6","Bzrap1"
"Barhl2",3.9291326780782e-54,0.431983006334442,0.287,0.03,5.92552499180973e-50,"MEGLU6","Barhl2"
