"","predicted_ttype","N","relN","Confidence.Interval","Lower.limit","Upper.limit","alpha","broad_class"
"1","MEGLU1",22,0.0869565217391304,"two.sided",0.0552981725622004,0.128693183940836,0.05,"EXC"
"2","MEGLU2",28,0.110671936758893,"two.sided",0.0748123165469879,0.155968634920515,0.05,"EXC"
"3","MEGLU3",16,0.0632411067193676,"two.sided",0.0365764807178799,0.100669697013643,0.05,"EXC"
"4","MEGLU4",17,0.0671936758893281,"two.sided",0.03962693291705,0.105405495217787,0.05,"EXC"
"5","MEGLU5",24,0.0948616600790514,"two.sided",0.0617287789726782,0.137855507310173,0.05,"EXC"
"6","MEGLU6",10,0.0395256916996047,"two.sided",0.0191141530587568,0.0714861054676463,0.05,"EXC"
"7","MEINH10",9,0.0355731225296443,"two.sided",0.0163930051932536,0.0664525181372271,0.05,"INH"
"8","MEINH11",12,0.0474308300395257,"two.sided",0.024745122073926,0.0813857959013846,0.05,"INH"
"9","MEINH12",9,0.0355731225296443,"two.sided",0.0163930051932536,0.0664525181372271,0.05,"INH"
"10","MEINH2",20,0.0790513833992095,"two.sided",0.0489539370882156,0.119449203372069,0.05,"INH"
"11","MEINH3",16,0.0632411067193676,"two.sided",0.0365764807178799,0.100669697013643,0.05,"INH"
"12","MEINH5",10,0.0395256916996047,"two.sided",0.0191141530587568,0.0714861054676463,0.05,"INH"
"13","MEINH6",9,0.0355731225296443,"two.sided",0.0163930051932536,0.0664525181372271,0.05,"INH"
"14","MEINH7",15,0.0592885375494071,"two.sided",0.0335595678791628,0.0959028645962832,0.05,"INH"
"15","MEINH8",22,0.0869565217391304,"two.sided",0.0552981725622004,0.128693183940836,0.05,"INH"
"16","MEINH9",14,0.0553359683794466,"two.sided",0.0305793947524837,0.0911022114387812,0.05,"INH"
