"","Genotype","predicted_ttype","N","Confidence.Interval","Lower.limit","Upper.limit","alpha","relN"
"1","Fz10","MEGLU1",10,"two.sided",0.0424891772909677,0.154105231215409,0.05,0.0869565217391304
"2","Fz10","MEGLU2",8,"two.sided",0.0305100096339694,0.132474008405478,0.05,0.0695652173913043
"3","Fz10","MEGLU3",9,"two.sided",0.0364102082595264,0.143368253019401,0.05,0.0782608695652174
"4","Fz10","MEGLU4",4,"two.sided",0.00955694491539285,0.0866651865892372,0.05,0.0347826086956522
"5","Fz10","MEGLU5",15,"two.sided",0.074878427180058,0.205993056748176,0.05,0.130434782608696
"6","Fz10","MEGLU6",4,"two.sided",0.00955694491539285,0.0866651865892372,0.05,0.0347826086956522
"7","Fz10","MEINH10",5,"two.sided",0.0142658308751206,0.0985497239926502,0.05,0.0434782608695652
"8","Fz10","MEINH11",7,"two.sided",0.0248204388701864,0.121397313879288,0.05,0.0608695652173913
"9","Fz10","MEINH12",3,"two.sided",0.00541240902789705,0.0743462344101988,0.05,0.0260869565217391
"10","Fz10","MEINH2",9,"two.sided",0.0364102082595264,0.143368253019401,0.05,0.0782608695652174
"11","Fz10","MEINH3",8,"two.sided",0.0305100096339694,0.132474008405478,0.05,0.0695652173913043
"12","Fz10","MEINH5",7,"two.sided",0.0248204388701864,0.121397313879288,0.05,0.0608695652173913
"13","Fz10","MEINH6",3,"two.sided",0.00541240902789705,0.0743462344101988,0.05,0.0260869565217391
"14","Fz10","MEINH7",6,"two.sided",0.0193850056715616,0.110104659603776,0.05,0.0521739130434783
"15","Fz10","MEINH8",11,"two.sided",0.0487227674925422,0.16470444531255,0.05,0.0956521739130435
"16","Fz10","MEINH9",6,"two.sided",0.0193850056715616,0.110104659603776,0.05,0.0521739130434783
"17","Sox2","MEGLU1",12,"two.sided",0.0457411121497283,0.146969067452897,0.05,0.0869565217391304
"18","Sox2","MEGLU2",20,"two.sided",0.0908289738907556,0.21491836417849,0.05,0.144927536231884
"19","Sox2","MEGLU3",7,"two.sided",0.0206343640689566,0.101718968051314,0.05,0.0507246376811594
"20","Sox2","MEGLU4",13,"two.sided",0.051117738311659,0.155702175767142,0.05,0.0942028985507246
"21","Sox2","MEGLU5",9,"two.sided",0.030252733312043,0.120192155607222,0.05,0.0652173913043478
"22","Sox2","MEGLU6",6,"two.sided",0.0161204905546819,0.0922305140801619,0.05,0.0434782608695652
"23","Sox2","MEINH10",4,"two.sided",0.00795289499845433,0.0725503972577427,0.05,0.0289855072463768
"24","Sox2","MEINH11",5,"two.sided",0.0118672422579184,0.0825263318810427,0.05,0.036231884057971
"25","Sox2","MEINH12",6,"two.sided",0.0161204905546819,0.0922305140801619,0.05,0.0434782608695652
"26","Sox2","MEINH2",11,"two.sided",0.0404625601537721,0.138147041622516,0.05,0.0797101449275362
"27","Sox2","MEINH3",8,"two.sided",0.0253571743842577,0.111030226687417,0.05,0.0579710144927536
"28","Sox2","MEINH5",3,"two.sided",0.0045057659614902,0.0622154430889074,0.05,0.0217391304347826
"29","Sox2","MEINH6",6,"two.sided",0.0161204905546819,0.0922305140801619,0.05,0.0434782608695652
"30","Sox2","MEINH7",9,"two.sided",0.030252733312043,0.120192155607222,0.05,0.0652173913043478
"31","Sox2","MEINH8",11,"two.sided",0.0404625601537721,0.138147041622516,0.05,0.0797101449275362
"32","Sox2","MEINH9",8,"two.sided",0.0253571743842577,0.111030226687417,0.05,0.0579710144927536
