"","Var1","Var2","value","label"
"1","MEGLU1","sSC",-2,""
"2","MEGLU2","sSC",-2,""
"3","MEGLU3","sSC",-2,""
"4","MEGLU4","sSC",2,""
"5","MEGLU5","sSC",2,""
"6","MEGLU6","sSC",1.30452533987906,""
"7","MEINH10","sSC",2,""
"8","MEINH11","sSC",0.700476203568294,""
"9","MEINH12","sSC",1.72856577795133,""
"10","MEINH2","sSC",-0.864126533309258,""
"11","MEINH3","sSC",-1.94189485665442,""
"12","MEINH5","sSC",1.36246558260092,""
"13","MEINH6","sSC",0.368346728346876,""
"14","MEINH7","sSC",-0.188588744501037,""
"15","MEINH8","sSC",0.50174815638731,""
"16","MEINH9","sSC",2,""
"17","MEGLU1","dSC",2,""
"18","MEGLU2","dSC",-0.543815262220782,""
"19","MEGLU3","dSC",0.364817348070314,""
"20","MEGLU4","dSC",-1.93084099165516,""
"21","MEGLU5","dSC",-2,""
"22","MEGLU6","dSC",-1.56089115297951,""
"23","MEINH10","dSC",-1.41787173827929,""
"24","MEINH11","dSC",0.0097874130572729,""
"25","MEINH12","dSC",-0.659366228837954,""
"26","MEINH2","dSC",1.64609910344577,""
"27","MEINH3","dSC",0.427833055734953,""
"28","MEINH5","dSC",-0.180942394255975,""
"29","MEINH6","dSC",0.770258124145759,""
"30","MEINH7","dSC",1.72322706825345,""
"31","MEINH8","dSC",-0.0704015541222304,""
"32","MEINH9","dSC",-1.47833364874772,""
"33","MEGLU1","PAG",-0.5859509965664,""
"34","MEGLU2","PAG",2,""
"35","MEGLU3","PAG",2,""
"36","MEGLU4","PAG",-2,""
"37","MEGLU5","PAG",-2,""
"38","MEGLU6","PAG",0.20118642643668,""
"39","MEINH10","PAG",-1.49238732489373,""
"40","MEINH11","PAG",-0.94217631069432,""
"41","MEINH12","PAG",-1.45680871649182,""
"42","MEINH2","PAG",-0.943054116702279,""
"43","MEINH3","PAG",2,""
"44","MEINH5","PAG",-1.52816363405617,""
"45","MEINH6","PAG",-1.3872415685011,""
"46","MEINH7","PAG",-1.88425411256107,""
"47","MEINH8","PAG",-0.575313858025534,""
"48","MEINH9","PAG",-1.17498871789789,""
"MEINH6","MEINH6","sig",-2,"ns"
"MEINH11","MEINH11","sig",-2,"ns"
"MEINH8","MEINH8","sig",-2,"ns"
"MEGLU6","MEGLU6","sig",-2,"*"
"MEINH12","MEINH12","sig",-2,"*"
"MEINH5","MEINH5","sig",-2,"*"
"MEGLU4","MEGLU4","sig",-2,"**"
"MEGLU5","MEGLU5","sig",-2,"***"
"MEINH10","MEINH10","sig",-2,"**"
"MEINH9","MEINH9","sig",-2,"**"
"MEINH2","MEINH2","sig",-2,"*"
"MEINH7","MEINH7","sig",-2,"*"
"MEGLU1","MEGLU1","sig",-2,"***"
"MEINH3","MEINH3","sig",-2,"**"
"MEGLU2","MEGLU2","sig",-2,"***"
"MEGLU3","MEGLU3","sig",-2,"***"
"MEINH61","MEINH6","p",-2,"2.21e-01"
"MEINH111","MEINH11","p",-2,"2.42e-01"
"MEINH81","MEINH8","p",-2,"3.08e-01"
"MEGLU61","MEGLU6","p",-2,"9.60e-02"
"MEINH121","MEINH12","p",-2,"4.19e-02"
"MEINH51","MEINH5","p",-2,"8.65e-02"
"MEGLU41","MEGLU4","p",-2,"5.45e-04"
"MEGLU51","MEGLU5","p",-2,"6.15e-05"
"MEINH101","MEINH10","p",-2,"6.45e-03"
"MEINH91","MEINH9","p",-2,"1.31e-02"
"MEINH21","MEINH2","p",-2,"4.99e-02"
"MEINH71","MEINH7","p",-2,"4.24e-02"
"MEGLU11","MEGLU1","p",-2,"2.47e-05"
"MEINH31","MEINH3","p",-2,"2.10e-02"
"MEGLU21","MEGLU2","p",-2,"1.71e-12"
"MEGLU31","MEGLU3","p",-2,"1.04e-06"
