"","N","coverage","genotype"
"1",2,0.5,"Fz10"
"2",3,0.5,"Fz10"
"3",3,0.428571428571429,"Fz10"
"4",2,0.666666666666667,"Fz10"
"5",2,0.4,"Fz10"
"6",2,0.4,"Fz10"
"7",5,0.625,"Fz10"
"8",2,0.666666666666667,"Fz10"
"9",2,1,"Fz10"
"10",3,0.75,"Fz10"
"11",2,0.5,"Fz10"
"12",4,0.444444444444444,"Fz10"
"13",2,0.666666666666667,"Fz10"
"14",3,0.6,"Fz10"
"15",9,0.409090909090909,"Fz10"
"16",3,0.75,"Fz10"
"17",6,0.315789473684211,"Fz10"
"18",5,0.416666666666667,"Fz10"
"19",4,1,"Fz10"
"20",9,0.5625,"Fz10"
"21",2,0.5,"Fz10"
"22",6,0.6,"Fz10"
"23",6,0.375,"Fz10"
"24",3,0.5,"Fz10"
"25",3,0.5,"Fz10"
"26",4,0.307692307692308,"Fz10"
"27",2,0.5,"Fz10"
"28",2,0.333333333333333,"Fz10"
"29",2,0.333333333333333,"Fz10"
"30",12,0.857142857142857,"Fz10"
"31",2,0.333333333333333,"Sox2"
"32",5,0.454545454545455,"Sox2"
"33",4,0.363636363636364,"Sox2"
"34",3,0.5,"Sox2"
"35",10,0.625,"Sox2"
"36",12,0.444444444444444,"Sox2"
"37",6,0.75,"Sox2"
"38",9,0.818181818181818,"Sox2"
"39",3,0.75,"Sox2"
"40",2,0.666666666666667,"Sox2"
"41",6,0.75,"Sox2"
"42",10,0.833333333333333,"Sox2"
"43",5,0.714285714285714,"Sox2"
"44",5,0.833333333333333,"Sox2"
"45",3,0.75,"Sox2"
"46",3,0.375,"Sox2"
"47",4,0.666666666666667,"Sox2"
"48",4,0.8,"Sox2"
"49",4,0.8,"Sox2"
"50",6,0.461538461538462,"Sox2"
"51",4,0.571428571428571,"Sox2"
"52",5,0.714285714285714,"Sox2"
"53",7,0.636363636363636,"Sox2"
"54",2,1,"Sox2"
"55",4,0.666666666666667,"Sox2"
"56",4,0.8,"Sox2"
"57",4,0.8,"Sox2"
"58",2,0.4,"Sox2"
"59",2,0.5,"all"
"60",3,0.5,"all"
"61",3,0.428571428571429,"all"
"62",2,0.666666666666667,"all"
"63",2,0.4,"all"
"64",2,0.4,"all"
"65",5,0.625,"all"
"66",2,0.666666666666667,"all"
"67",2,1,"all"
"68",3,0.75,"all"
"69",2,0.5,"all"
"70",4,0.444444444444444,"all"
"71",2,0.666666666666667,"all"
"72",3,0.6,"all"
"73",9,0.409090909090909,"all"
"74",3,0.75,"all"
"75",6,0.315789473684211,"all"
"76",5,0.416666666666667,"all"
"77",4,1,"all"
"78",9,0.5625,"all"
"79",2,0.5,"all"
"80",6,0.6,"all"
"81",6,0.375,"all"
"82",3,0.5,"all"
"83",3,0.5,"all"
"84",4,0.307692307692308,"all"
"85",2,0.5,"all"
"86",2,0.333333333333333,"all"
"87",2,0.333333333333333,"all"
"88",12,0.857142857142857,"all"
"89",2,0.333333333333333,"all"
"90",5,0.454545454545455,"all"
"91",4,0.363636363636364,"all"
"92",3,0.5,"all"
"93",10,0.625,"all"
"94",12,0.444444444444444,"all"
"95",6,0.75,"all"
"96",9,0.818181818181818,"all"
"97",3,0.75,"all"
"98",2,0.666666666666667,"all"
"99",6,0.75,"all"
"100",10,0.833333333333333,"all"
"101",5,0.714285714285714,"all"
"102",5,0.833333333333333,"all"
"103",3,0.75,"all"
"104",3,0.375,"all"
"105",4,0.666666666666667,"all"
"106",4,0.8,"all"
"107",4,0.8,"all"
"108",6,0.461538461538462,"all"
"109",4,0.571428571428571,"all"
"110",5,0.714285714285714,"all"
"111",7,0.636363636363636,"all"
"112",2,1,"all"
"113",4,0.666666666666667,"all"
"114",4,0.8,"all"
"115",4,0.8,"all"
"116",2,0.4,"all"
