"","Var1","Var2","value","pvalue","pvalue_cor","star","value2plot","conv_ttype_1","conv_ttype_2"
"1","MEGLU1","MEGLU1",0.541864864094907,0.587911603095724,0.977693456590577,"",NA,"SCEXC1","SCEXC1"
"2","MEGLU2","MEGLU1",-0.0589857755700076,0.952963437834686,0.977693456590577,"",NA,"SCEXC2","SCEXC1"
"3","MEGLU3","MEGLU1",-2.2332092910406,0.0255351459190527,0.838688861963687,"",NA,"SCEXC3","SCEXC1"
"4","MEGLU4","MEGLU1",0.115510046304774,0.908040857978946,0.977693456590577,"",NA,"SCEXC4","SCEXC1"
"5","MEGLU5","MEGLU1",0.381938759744726,0.702506789655705,0.977693456590577,"",NA,"SCEXC5","SCEXC1"
"6","MEGLU6","MEGLU1",-1.51980773881383,0.128559303563092,0.87992861900656,"",NA,"SCEXC6","SCEXC1"
"7","MEINH2","MEGLU1",-0.86251171007496,0.388405991983364,0.87992861900656,"",NA,"SCINH1","SCEXC1"
"8","MEINH3","MEGLU1",0.267049534324079,0.789431022624346,0.977693456590577,"",NA,"SCINH2","SCEXC1"
"9","MEINH5","MEGLU1",-0.793387504155077,0.427552088840415,0.941576660253234,"",NA,"SCINH3","SCEXC1"
"10","MEINH6","MEGLU1",0.157162283515156,0.875116952246278,0.977693456590577,"",NA,"SCINH4","SCEXC1"
"11","MEINH7","MEGLU1",-1.49638369043725,0.134553697214724,0.87992861900656,"",NA,"SCINH5","SCEXC1"
"12","MEINH8","MEGLU1",-2.22310045571825,0.0262090269363652,0.838688861963687,"",NA,"SCINH6","SCEXC1"
"13","MEINH9","MEGLU1",-0.0583283526500286,0.953487083806164,0.977693456590577,"",NA,"SCINH7","SCEXC1"
"14","MEINH10","MEGLU1",-1.36375424104146,0.172644926413069,0.87992861900656,"",NA,"SCINH8","SCEXC1"
"15","MEINH11","MEGLU1",-0.403541183648588,0.686550144194962,0.977693456590577,"",NA,"SCINH9","SCEXC1"
"16","MEINH12","MEGLU1",0.965018280466692,0.334535655681883,0.87992861900656,"",NA,"SCINH10","SCEXC1"
"17","MEGLU1","MEGLU2",-0.0589857755700076,0.952963437834686,0.977693456590577,"",NA,"SCEXC1","SCEXC2"
