"subclone","layers","n_layers","ttypes"
"PS03.RED","dSC",1,"MEINH3.dSC.MEGLU1.dSC"
"PS04.GREEN","dSC.sSC",2,"MEGLU1.dSC.MEINH2.sSC.MEINH9.sSC"
"PS05.RED","dSC.PAG",2,"MEGLU3.dSC.MEINH2.dSC.MEGLU3.PAG"
"PS06.GREEN","sSC",1,"MEGLU4.sSC.MEINH8.sSC"
"PS09.GREEN","dSC",1,"MEGLU4.dSC.MEGLU5.dSC"
"PS11.GREEN","PAG.sSC",2,"MEGLU2.PAG.MEINH5.sSC"
"PS11.RED","dSC.PAG.sSC",3,"MEGLU1.PAG.MEGLU4.sSC.MEGLU5.sSC.MEGLU5.dSC"
"PS12a.RED","dSC.sSC",2,"MEINH11.dSC.MEINH6.sSC"
"PS12b.RED","dSC.PAG",2,"MEINH8.PAG.MEINH7.dSC"
"PS13a.RED","dSC.PAG.sSC",3,"MEGLU5.sSC.MEINH7.dSC.MEINH9.PAG"
"PS13b.RED","sSC",1,"MEINH12.sSC.MEINH11.sSC"
"PS14a.RED","dSC.PAG",2,"MEGLU2.PAG.MEINH8.dSC.MEINH8.PAG"
"PS14b.GREEN","dSC",1,"MEINH7.dSC.MEINH3.dSC"
"PS16.GREEN","dSC",1,"MEGLU3.dSC.MEGLU2.dSC.MEINH2.dSC"
"PS17.RED","sSC",1,"MEINH9.sSC.MEINH10.sSC.MEGLU4.sSC.MEINH11.sSC.MEGLU5.sSC.MEGLU1.sSC"
"PS18.GREEN","sSC",1,"MEINH2.sSC"
"PS18.RED","dSC.sSC",2,"MEINH8.sSC.MEGLU5.sSC.MEINH11.dSC.MEINH5.sSC"
"PS19.RED","dSC.PAG.sSC",3,"MEINH9.sSC.MEINH5.dSC.MEINH6.dSC.MEINH3.PAG.MEINH3.sSC"
"PS20.RED","dSC.PAG.sSC",3,"MEINH9.sSC.MEGLU3.PAG.MEINH5.dSC.MEINH7.dSC"
